map,lambda,r,steps,caught,reached,path_cost,avg_plan_time
../data/map\map-1.csv,0.75,6,71,0,1,78.0,0.461542054923894
../data/map\map-1.csv,0.75,7,76,0,1,82.0,0.4650431289506071
../data/map\map-1.csv,0.75,8,128,0,0,135.0,0.4882784242181515
../data/map\map-1.csv,0.75,9,128,0,0,130.0,0.5931776421839459
../data/map\map-1.csv,0.75,10,128,0,0,132.0,0.510844528124835
../data/map\map-1.csv,1,2,69,0,1,71.0,0.4915888463838728
../data/map\map-1.csv,1,3,69,0,1,71.0,0.49057996086944977
../data/map\map-1.csv,1,4,72,1,0,78.0,0.4794381680662304
../data/map\map-1.csv,1,5,72,0,1,75.0,0.4849608833400352
../data/map\map-1.csv,1,6,71,0,1,78.0,0.4648548366229745
../data/map\map-1.csv,1,7,76,0,1,82.0,0.47085543289339465
../data/map\map-1.csv,1,8,128,0,0,135.0,0.5131961875040361
../data/map\map-1.csv,1,9,128,0,0,130.0,0.5125621515626335
../data/map\map-1.csv,1,10,128,0,0,132.0,0.4889437328110944
../data/map\map-1.csv,1.5,2,69,0,1,71.0,0.4757507362359109
../data/map\map-1.csv,1.5,3,69,0,1,71.0,0.5901418028962866
../data/map\map-1.csv,1.5,4,72,1,0,78.0,0.4994131902721064
../data/map\map-1.csv,1.5,5,72,0,1,75.0,0.4680505388953154
../data/map\map-1.csv,1.5,6,71,0,1,78.0,0.46979250141229273
../data/map\map-1.csv,1.5,7,76,0,1,82.0,0.4736208289457289
../data/map\map-1.csv,1.5,8,128,0,0,135.0,0.48758164843548
../data/map\map-1.csv,1.5,9,128,0,0,130.0,0.481419228904997
../data/map\map-1.csv,1.5,10,128,0,0,132.0,0.6253039562479898
../data/map\map-1.csv,2,2,69,0,1,71.0,0.6627518318802712
../data/map\map-1.csv,2,3,69,0,1,71.0,0.46388159565749054
../data/map\map-1.csv,2,4,72,1,0,78.0,0.4670009944400388
../data/map\map-1.csv,2,5,72,0,1,75.0,0.4941772791676663
../data/map\map-1.csv,2,6,71,0,1,78.0,0.5177964126858466
../data/map\map-1.csv,2,7,76,0,1,82.0,0.47762092368180964
../data/map\map-1.csv,2,8,128,0,0,135.0,0.4889932906298782
../data/map\map-1.csv,2,9,128,0,0,130.0,0.5857591351614246
../data/map\map-1.csv,2,10,128,0,0,132.0,0.6313947007820389
../data/map\map-2.csv,0.25,2,72,1,0,72.0,0.49033660694840364
../data/map\map-2.csv,0.25,3,76,1,0,80.0,0.48767843419888157
../data/map\map-2.csv,0.25,4,128,0,0,131.0,0.5242876742140652
../data/map\map-2.csv,0.25,5,128,0,0,135.0,0.6625676257826854
../data/map\map-2.csv,0.25,6,128,0,0,134.0,0.5052112875000603
../data/map\map-2.csv,0.25,7,80,0,1,84.0,0.5077822749997722
../data/map\map-2.csv,0.25,8,80,1,0,93.0,0.6087532825084054
../data/map\map-2.csv,0.25,9,128,0,0,129.0,0.6518366867176155
../data/map\map-2.csv,0.25,10,128,0,0,128.0,0.5291157296924212
../data/map\map-2.csv,0.5,2,128,0,0,128.0,0.5294446054695072
../data/map\map-2.csv,0.5,3,76,1,0,80.0,0.6548158500012696
../data/map\map-2.csv,0.5,4,128,0,0,131.0,0.6257530039074481
../data/map\map-2.csv,0.5,5,128,0,0,135.0,0.4767651539068538
../data/map\map-2.csv,0.5,6,128,0,0,131.0,0.5224988132877115
../data/map\map-2.csv,0.5,7,80,0,1,84.0,0.6135837374968105
../data/map\map-2.csv,0.5,8,80,1,0,93.0,0.6346563362501911
../data/map\map-2.csv,0.5,9,128,0,0,129.0,0.5148163328176452
../data/map\map-2.csv,0.5,10,128,0,0,128.0,0.6094954632744702
../data/map\map-2.csv,0.75,2,128,0,0,128.0,0.6640393109419165
../data/map\map-2.csv,0.75,3,76,1,0,80.0,0.6091654092076504
../data/map\map-2.csv,0.75,4,128,0,0,131.0,0.48579123203035124
../data/map\map-2.csv,0.75,5,128,0,0,135.0,0.5538348617183146
../data/map\map-2.csv,0.75,6,128,0,0,131.0,0.6509281421849664
../data/map\map-2.csv,0.75,7,80,0,1,84.0,0.6056438300045557
../data/map\map-2.csv,0.75,8,80,1,0,93.0,0.5636384487530449
../data/map\map-2.csv,0.75,9,128,0,0,129.0,0.6225354523430724
../data/map\map-2.csv,0.75,10,128,0,0,128.0,0.6335244515603335
../data/map\map-2.csv,1,2,128,0,0,128.0,0.46350946640268376
../data/map\map-2.csv,1,3,76,1,0,80.0,0.6112929157848397
../data/map\map-2.csv,1,4,128,0,0,131.0,0.6656139632823397
../data/map\map-2.csv,1,5,128,0,0,135.0,0.5889162539024255
../data/map\map-2.csv,1,6,128,0,0,128.0,0.5079791476528044
../data/map\map-2.csv,1,7,80,0,1,84.0,0.6123818975043832
../data/map\map-2.csv,1,8,80,1,0,93.0,0.6478675187448971
../data/map\map-2.csv,1,9,128,0,0,129.0,0.6071720937525242
../data/map\map-2.csv,1,10,128,0,0,128.0,0.5145447992217669
../data/map\map-2.csv,1.5,2,128,0,0,128.0,0.6301422398491923
../data/map\map-2.csv,1.5,3,77,1,0,85.0,0.6031156194716837
../data/map\map-2.csv,1.5,4,128,0,0,131.0,0.5464003000033699
../data/map\map-2.csv,1.5,5,128,0,0,135.0,0.47013067890202365
../data/map\map-2.csv,1.5,6,128,0,0,128.0,0.6232784750054634
../data/map\map-2.csv,1.5,7,80,0,1,84.0,0.6746561462554382
../data/map\map-2.csv,1.5,8,80,1,0,93.0,0.5915473599947291
../data/map\map-2.csv,1.5,9,128,0,0,129.0,0.47493740389563754
../data/map\map-2.csv,1.5,10,128,0,0,128.0,0.6831070859370811
../data/map\map-2.csv,2,2,128,0,0,128.0,0.5559323601546566
../data/map\map-2.csv,2,3,77,1,0,85.0,0.4606586857199935
../data/map\map-2.csv,2,4,128,0,0,131.0,0.47411835547063674
../data/map\map-2.csv,2,5,128,0,0,135.0,0.6007835867158065
../data/map\map-2.csv,2,6,128,0,0,128.0,0.5733658984372596
../data/map\map-2.csv,2,7,80,0,1,84.0,0.5196703387482557
../data/map\map-2.csv,2,8,80,1,0,93.0,0.5296018275010284
../data/map\map-2.csv,2,9,128,0,0,129.0,0.6674507250054376
../data/map\map-2.csv,2,10,128,0,0,128.0,0.5235208757821965
../data/map\map-3.csv,0.25,2,86,1,0,86.0,0.4812649325603013
../data/map\map-3.csv,0.25,3,96,1,0,96.0,0.48381166770680767
../data/map\map-3.csv,0.25,4,128,0,0,128.0,0.631111649227023
../data/map\map-3.csv,0.25,5,128,0,0,128.0,0.4904191703089964
../data/map\map-3.csv,0.25,6,128,0,0,128.0,0.5073553570309741
../data/map\map-3.csv,0.25,7,128,0,0,128.0,0.4235137125051551
../data/map\map-3.csv,0.25,8,128,0,0,128.0,0.6350835523435308
../data/map\map-3.csv,0.25,9,128,0,0,128.0,0.5135253507796733
../data/map\map-3.csv,0.25,10,128,0,0,128.0,0.49472985469674313
../data/map\map-3.csv,0.5,2,87,1,0,87.0,0.41082985977101644
../data/map\map-3.csv,0.5,3,128,0,0,128.0,0.606304139837448
../data/map\map-3.csv,0.5,4,128,0,0,128.0,0.4902886468826182
../data/map\map-3.csv,0.5,5,128,0,0,128.0,0.49852601015300024
../data/map\map-3.csv,0.5,6,128,0,0,128.0,0.4063786413998969
../data/map\map-3.csv,0.5,7,128,0,0,128.0,0.5781846546851739
../data/map\map-3.csv,0.5,8,128,0,0,128.0,0.48554857655653905
../data/map\map-3.csv,0.5,9,128,0,0,128.0,0.4871987695323696
../data/map\map-3.csv,0.5,10,128,0,0,128.0,0.4142174195294501
../data/map\map-3.csv,0.75,2,128,0,0,128.0,0.5874906195313088
../data/map\map-3.csv,0.75,3,128,0,0,128.0,0.4985421117298756
../data/map\map-3.csv,0.75,4,128,0,0,128.0,0.46512098124549084
../data/map\map-3.csv,0.75,5,128,0,0,128.0,0.3998974750038542
../data/map\map-3.csv,0.75,6,128,0,0,128.0,0.5629680742158598
../data/map\map-3.csv,0.75,7,128,0,0,128.0,0.4879540249976344
../data/map\map-3.csv,0.75,8,128,0,0,128.0,0.48069735390618007
../data/map\map-3.csv,0.75,9,128,0,0,128.0,0.371732010939013
../data/map\map-3.csv,0.75,10,128,0,0,128.0,0.49121881171868154
../data/map\map-3.csv,1,2,128,0,0,128.0,0.4811287734310099
../data/map\map-3.csv,1,3,128,0,0,128.0,0.425257314841474
../data/map\map-3.csv,1,4,128,0,0,128.0,0.3196943546863622
../data/map\map-3.csv,1,5,128,0,0,128.0,0.4999576265690848
../data/map\map-3.csv,1,6,128,0,0,128.0,0.4748066140582523
../data/map\map-3.csv,1,7,128,0,0,128.0,0.42474787969240424
../data/map\map-3.csv,1,8,128,0,0,128.0,0.31156832656142797
../data/map\map-3.csv,1,9,128,0,0,128.0,0.48336622265378537
../data/map\map-3.csv,1,10,128,0,0,128.0,0.445396838283159
../data/map\map-3.csv,1.5,2,128,0,0,128.0,0.32540731015524216
../data/map\map-3.csv,1.5,3,128,0,0,128.0,0.2656770867160958
../data/map\map-3.csv,1.5,4,128,0,0,128.0,0.49504972187514795
../data/map\map-3.csv,1.5,5,128,0,0,128.0,0.41588205546941026
../data/map\map-3.csv,1.5,6,128,0,0,128.0,0.2969501187426431
../data/map\map-3.csv,1.5,7,128,0,0,128.0,0.26992229296865844
../data/map\map-3.csv,1.5,8,128,0,0,128.0,0.48501171719181
